"Participant_ID","Accuracy","AccuracyAtLeast75","AccuracyAtLeast90","Age","Sex","Education","Trial","Cue","Flanker","RT","Visual_Acuity"
3,1,1,1,77,"Female",6,87,"DOUBLE","INCONGRUENT",623,1
3,1,1,1,77,"Female",6,84,"NOCUE","INCONGRUENT",808,1
3,1,1,1,77,"Female",6,22,"NOCUE","INCONGRUENT",749,1
3,1,1,1,77,"Female",6,69,"NOCUE","CONGRUENT",727,1
3,1,1,1,77,"Female",6,34,"SPATIAL","CONGRUENT",833,1
3,1,1,1,77,"Female",6,93,"DOUBLE","CONGRUENT",839,1
3,1,1,1,77,"Female",6,5,"CENTRAL","INCONGRUENT",711,1
3,1,1,1,77,"Female",6,12,"DOUBLE","CONGRUENT",542,1
3,1,1,1,77,"Female",6,72,"DOUBLE","CONGRUENT",765,1
3,1,1,1,77,"Female",6,32,"CENTRAL","INCONGRUENT",841,1
3,1,1,1,77,"Female",6,7,"CENTRAL","INCONGRUENT",836,1
3,1,1,1,77,"Female",6,66,"NOCUE","INCONGRUENT",820,1
3,1,1,1,77,"Female",6,95,"DOUBLE","INCONGRUENT",788,1
3,1,1,1,77,"Female",6,51,"SPATIAL","INCONGRUENT",550,1
3,1,1,1,77,"Female",6,63,"DOUBLE","INCONGRUENT",686,1
3,1,1,1,77,"Female",6,38,"DOUBLE","INCONGRUENT",916,1
3,1,1,1,77,"Female",6,85,"CENTRAL","CONGRUENT",657,1
3,1,1,1,77,"Female",6,83,"NOCUE","CONGRUENT",732,1
3,1,1,1,77,"Female",6,35,"SPATIAL","CONGRUENT",719,1
3,1,1,1,77,"Female",6,77,"DOUBLE","CONGRUENT",613,1
3,1,1,1,77,"Female",6,52,"SPATIAL","CONGRUENT",672,1
3,1,1,1,77,"Female",6,76,"NOCUE","INCONGRUENT",651,1
3,1,1,1,77,"Female",6,19,"SPATIAL","INCONGRUENT",629,1
3,1,1,1,77,"Female",6,18,"CENTRAL","INCONGRUENT",788,1
3,1,1,1,77,"Female",6,41,"CENTRAL","INCONGRUENT",745,1
3,1,1,1,77,"Female",6,75,"CENTRAL","INCONGRUENT",874,1
3,1,1,1,77,"Female",6,57,"NOCUE","CONGRUENT",759,1
3,1,1,1,77,"Female",6,62,"NOCUE","INCONGRUENT",771,1
3,1,1,1,77,"Female",6,96,"CENTRAL","CONGRUENT",679,1
3,1,1,1,77,"Female",6,28,"NOCUE","INCONGRUENT",940,1
3,1,1,1,77,"Female",6,79,"NOCUE","INCONGRUENT",790,1
3,1,1,1,77,"Female",6,26,"DOUBLE","INCONGRUENT",754,1
3,1,1,1,77,"Female",6,16,"CENTRAL","CONGRUENT",593,1
3,1,1,1,77,"Female",6,45,"SPATIAL","INCONGRUENT",855,1
3,1,1,1,77,"Female",6,58,"SPATIAL","CONGRUENT",693,1
3,1,1,1,77,"Female",6,60,"CENTRAL","INCONGRUENT",749,1
3,1,1,1,77,"Female",6,48,"SPATIAL","INCONGRUENT",694,1
3,1,1,1,77,"Female",6,94,"SPATIAL","INCONGRUENT",805,1
3,1,1,1,77,"Female",6,17,"SPATIAL","CONGRUENT",692,1
3,1,1,1,77,"Female",6,80,"NOCUE","INCONGRUENT",761,1
